geometry,buffered_geometry,longitude,latitude,ndvi,ndbi,ndwi,aerosol,label,index,place_id,licence,osm_type,osm_id,lat,lon,display_name,boundingbox,address.village,address.city,address.region,address.postcode,address.country,address.country_code,address.state,address.quarter,address.neighbourhood,address.town,address.amenity,address.road,address.building,address.aeroway,address.military,address.industrial
POINT (124.2901829974178 7.215773299326646),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.29018299741782,
                7.215773299326646
              ]
            }
          }
        }
      }
    }
  }
})",124.29018299741782,7.215773299326647,0.2584620505829991,-0.19474554746899933,-0.039675496319805284,184.79601990049753,2,0,79866987,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,7719085844,7.226206599999999,124.25164550000001,"Poblacion Ⅶ, Cotabato City, Bangsamoro, 9605, Philippines","['7.2062066', '7.2462066', '124.2316455', '124.2716455']",Poblacion Ⅶ,Cotabato City,Bangsamoro,9605.0,Philippines,ph,,,,,,,,,,
POINT (124.3069578307663 7.245039912982131),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.30695783076634,
                7.245039912982131
              ]
            }
          }
        }
      }
    }
  }
})",124.30695783076634,7.245039912982131,0.3319508705455634,-0.1808196300004063,-0.13453217021340816,213.7384806973848,3,0,110366192,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,32806796,7.242490400000001,124.3086371,"Sultan Kudarat, Maguindanao, Bangsamoro, 9605, Philippines","['7.2299612', '7.2696072', '124.3069996', '124.324383']",,,Bangsamoro,9605.0,Philippines,ph,Maguindanao,,,Sultan Kudarat,,,,,,
POINT (124.1947978288502 7.239318306028899),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.19479782885018,
                7.239318306028899
              ]
            }
          }
        }
      }
    }
  }
})",124.1947978288502,7.239318306028899,0.1463663824763337,-0.13063031765756294,-0.0005975378873723916,142.1492537313433,1,0,248320142,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,750288741,7.240246010377186,124.19217791819624,"Cotabato City, Bangsamoro, Philippines","['7.2234094', '7.2426321', '124.1859565', '124.1930408']",,Cotabato City,Bangsamoro,,Philippines,ph,,,,,,,,,,
POINT (124.2125173224367 7.208286828447723),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.21251732243665,
                7.208286828447723
              ]
            }
          }
        }
      }
    }
  }
})",124.21251732243664,7.208286828447722,0.2935865708129987,-0.20189912866386547,-0.07785139544981662,137.99370277078086,0,0,95781968,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,9085520175,7.2000942,124.2026389,"Bubong, Cotabato City, Bangsamoro, 9601, Philippines","['7.1800942', '7.2200942', '124.1826389', '124.2226389']",Bubong,Cotabato City,Bangsamoro,9601.0,Philippines,ph,,,,,,,,,,
POINT (124.2758255128221 7.191695629606631),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.27582551282208,
                7.191695629606631
              ]
            }
          }
        }
      }
    }
  }
})",124.27582551282208,7.191695629606631,0.31682970176851555,-0.1946292396854868,-0.09878928128542087,134.90037831021436,2,0,129118493,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,118666915,7.190529614170617,124.27538305415091,"Tamontaka 3, Cotabato City, Bangsamoro, Philippines","['7.1855123', '7.1913124', '124.2736591', '124.2766014']",Tamontaka 3,Cotabato City,Bangsamoro,,Philippines,ph,,,,,,,,,,
POINT (124.2841024545803 7.252062345508007),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.28410245458026,
                7.252062345508007
              ]
            }
          }
        }
      }
    }
  }
})",124.28410245458026,7.252062345508008,0.3401516560856201,-0.17882198080084144,-0.14732355486045492,211.3921815889029,3,0,278708642,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,965331838,7.25213873439419,124.28140354594684,"Rebuken, Maguindanao, Bangsamoro, 9605, Philippines","['7.2488829', '7.2539218', '124.280435', '124.2833137']",Rebuken,,Bangsamoro,9605.0,Philippines,ph,Maguindanao,,,,,,,,,
POINT (124.2642444073708 7.220901282268426),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.26424440737075,
                7.220901282268426
              ]
            }
          }
        }
      }
    }
  }
})",124.26424440737075,7.220901282268425,0.24048220780192295,-0.1431114999230204,-0.08648230796319804,182.3073047858942,4,0,228279040,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,623235372,7.220343891752036,124.2666464075304,"Cotabato City East Diversion Road, Cotabato City, Bangsamoro, 9605, Philippines","['7.2060378', '7.2217689', '124.2616179', '124.2670876']",,Cotabato City,Bangsamoro,9605.0,Philippines,ph,,,,,,Cotabato City East Diversion Road,,,,
POINT (124.2765596255023 7.213570140463018),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.27655962550234,
                7.213570140463018
              ]
            }
          }
        }
      }
    }
  }
})",124.27655962550234,7.213570140463017,0.30007733125957925,-0.20569006763204206,-0.0699618250902684,185.97763975155274,2,0,79866987,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,7719085844,7.226206599999999,124.25164550000001,"Poblacion Ⅶ, Cotabato City, Bangsamoro, 9605, Philippines","['7.2062066', '7.2462066', '124.2316455', '124.2716455']",Poblacion Ⅶ,Cotabato City,Bangsamoro,9605.0,Philippines,ph,,,,,,,,,,
POINT (124.3033296096485 7.247109818536643),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.30332960964847,
                7.247109818536643
              ]
            }
          }
        }
      }
    }
  }
})",124.30332960964847,7.247109818536643,0.34025022658449816,-0.18204213344838646,-0.14225034436630235,219.17206982543644,3,0,265824866,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,862046011,7.2473084000000005,124.29866329999999,"Maguindanao, Bangsamoro, 9605, Philippines","['7.2473084', '7.2536491', '124.2961447', '124.2987447']",,,Bangsamoro,9605.0,Philippines,ph,Maguindanao,,,,,,,,,
POINT (124.2363859930683 7.235589600814389),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.23638599306827,
                7.235589600814389
              ]
            }
          }
        }
      }
    }
  }
})",124.23638599306828,7.235589600814389,0.3079932312447469,-0.18177320934202248,-0.11499346807652265,127.38143036386452,3,0,230983021,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,648178108,7.2360904999999995,124.2349541,"Katuli, Maguindanao, Bangsamoro, 9605, Philippines","['7.2344072', '7.2394551', '124.2344862', '124.2366479']",Katuli,,Bangsamoro,9605.0,Philippines,ph,Maguindanao,,,,,,,,,
POINT (124.2305358064479 7.215520286228514),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.23053580644789,
                7.215520286228514
              ]
            }
          }
        }
      }
    }
  }
})",124.23053580644788,7.2155202862285135,0.26493518726127496,-0.1333189847111783,-0.12731317318190888,141.3425,4,0,266095278,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,863765283,7.2152275999999995,124.23033799999999,"Bagua II, Cotabato City, Bangsamoro, 9601, Philippines","['7.2141526', '7.2152276', '124.230338', '124.2316094']",Bagua II,Cotabato City,Bangsamoro,9601.0,Philippines,ph,,,,,,,,,,
POINT (124.1852362041534 7.209023323607569),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.1852362041534,
                7.209023323607569
              ]
            }
          }
        }
      }
    }
  }
})",124.1852362041534,7.2090233236075685,0.24702653469389896,-0.1861031081400064,-0.04639529960824749,110.72636815920394,0,0,273661116,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,925820849,7.2108064,124.18221650000001,"Ragundungan, Cotabato City, Bangsamoro, 9601, Philippines","['7.2107106', '7.2111264', '124.181149', '124.1822165']",Ragundungan,Cotabato City,Bangsamoro,9601.0,Philippines,ph,,,,,,,,,,
POINT (124.2837094808749 7.211536509959219),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.28370948087492,
                7.211536509959219
              ]
            }
          }
        }
      }
    }
  }
})",124.28370948087492,7.211536509959219,0.3033594647120394,-0.2129848158730553,-0.06324593926392527,187.78947368421055,2,0,79866987,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,7719085844,7.226206599999999,124.25164550000001,"Poblacion Ⅶ, Cotabato City, Bangsamoro, 9605, Philippines","['7.2062066', '7.2462066', '124.2316455', '124.2716455']",Poblacion Ⅶ,Cotabato City,Bangsamoro,9605.0,Philippines,ph,,,,,,,,,,
POINT (124.2778433934805 7.221519266676138),"ee.Geometry({
  ""functionInvocationValue"": {
    ""functionName"": ""Geometry.buffer"",
    ""arguments"": {
      ""distance"": {
        ""constantValue"": 1000
      },
      ""geometry"": {
        ""functionInvocationValue"": {
          ""functionName"": ""GeometryConstructors.Point"",
          ""arguments"": {
            ""coordinates"": {
              ""constantValue"": [
                124.27784339348047,
                7.221519266676138
              ]
            }
          }
        }
      }
    }
  }
})",124.2778433934805,7.221519266676138,0.27816366128850895,-0.18992032384301288,-0.06783146826766633,177.273631840796,2,0,79866987,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,7719085844,7.226206599999999,124.25164550000001,"Poblacion Ⅶ, Cotabato City, Bangsamoro, 9605, Philippines","['7.2062066', '7.2462066', '124.2316455', '124.2716455']",Poblacion Ⅶ,Cotabato City,Bangsamoro,9605.0,Philippines,ph,,,,,,,,,,
